Neighborhood,lat,lon,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cluster 1,38.92124856,-77.04270557,33,43,34,39,48,50,54,62,45,64,48,43
Cluster 10,38.9639531,-77.06985712,20,21,16,17,26,14,28,29,14,26,12,13
Cluster 11,38.95059514,-77.08249482,33,28,27,22,23,18,44,31,24,26,33,27
Cluster 12,38.94616681,-77.06390096,14,26,26,15,20,26,23,24,18,26,16,15
Cluster 13,38.92865096,-77.09544405,11,20,14,8,12,12,10,17,16,10,7,13
Cluster 14,38.9315069,-77.07520735,35,23,28,19,17,28,25,31,39,36,29,23
Cluster 15,38.93030798,-77.05701905,27,34,19,21,28,33,43,44,28,25,25,26
Cluster 16,38.98386747,-77.03092165,13,12,15,26,24,26,30,16,27,14,11,10
Cluster 17,38.96979998,-77.02250322,86,84,62,84,96,104,114,97,74,50,66,61
Cluster 18,38.94741189,-77.02628495,116,93,80,66,89,78,80,100,74,73,59,87
Cluster 19,38.95546255,-77.00276917,40,40,29,36,48,59,46,38,31,24,39,43
Cluster 2,38.92968834,-77.03102072,178,115,139,113,131,116,143,129,110,123,130,127
Cluster 20,38.94146305,-76.99060528,26,26,28,41,25,34,38,26,33,14,12,16
Cluster 21,38.91757245,-77.00544178,110,121,93,95,112,71,95,117,102,68,63,68
Cluster 22,38.92436044,-76.98387318,67,72,64,75,75,57,68,58,57,50,56,51
Cluster 23,38.90770655,-76.98587473,139,127,119,126,97,116,105,85,77,75,85,82
Cluster 24,38.9256699,-76.96162512,31,48,39,31,35,36,40,32,17,25,23,19
Cluster 25,38.90021828,-76.99430148,139,116,120,140,150,160,160,212,135,126,113,132
Cluster 26,38.88476426,-76.99018075,67,51,69,58,88,61,70,79,79,60,56,80
Cluster 27,38.87721015,-77.00414936,39,37,44,51,49,61,39,45,37,29,36,24
Cluster 28,38.86386203,-76.98593342,8,14,14,16,15,12,12,7,16,13,13,8
Cluster 29,38.90889646,-76.93949551,4,6,8,7,6,10,11,10,2,2,2,2
Cluster 3,38.91748894,-77.02576077,76,90,88,112,114,154,117,100,94,89,86,72
Cluster 30,38.89905545,-76.94556235,35,37,33,29,34,14,29,20,14,19,16,22
Cluster 31,38.90047786,-76.92727188,55,38,47,57,61,71,70,46,32,43,58,40
Cluster 32,38.88925835,-76.95105356,31,19,41,48,32,36,53,34,32,29,34,30
Cluster 33,38.88444758,-76.93118166,19,33,45,46,44,46,53,49,42,23,43,27
Cluster 34,38.87046036,-76.96830737,37,55,52,68,59,59,47,57,40,33,29,36
Cluster 35,38.86038004,-76.96203768,19,14,18,37,24,23,16,19,19,9,9,14
Cluster 36,38.85531824,-76.96996472,17,16,16,12,20,14,14,25,15,15,16,14
Cluster 37,38.85814383,-76.99077549,17,15,18,24,19,16,25,12,17,11,18,12
Cluster 38,38.84671497,-76.9791936,28,26,35,23,30,37,28,35,25,34,34,34
Cluster 39,38.83352831,-77.00052322,77,64,91,101,86,74,68,52,75,65,54,63
Cluster 4,38.90755776,-77.06356304,28,32,50,39,51,51,63,61,62,63,76,41
Cluster 40,38.97538644,-77.0282045,10,3,4,3,9,1,8,5,4,7,5,3
Cluster 41,38.9423708,-77.04594876,0,0,0,0,0,0,0,1,1,0,0,0
Cluster 43,38.84785901,-76.99330696,4,5,6,4,6,5,,3,3,4,9,5
Cluster 44,38.82448981,-77.01418946,2,1,1,2,2,3,4,1,5,3,1,4
Cluster 45,38.89039756,-77.02820663,4,0,7,5,2,7,1,3,5,4,3,0
Cluster 46,38.89695234,-76.97510524,0,1,0,1,1,1,0,0,0,1,0,0
Cluster 5,38.90208733,-77.04961595,22,24,37,20,24,25,22,37,19,21,23,15
Cluster 6,38.90864154,-77.0404098,71,79,96,102,114,111,99,108,88,94,84,78
Cluster 7,38.90970498,-77.02672107,61,72,72,63,95,77,74,79,60,54,47,47
Cluster 8,38.90113834,-77.02483319,118,118,151,180,172,159,165,162,137,124,112,103
Cluster 9,38.8775072,-77.01732766,42,37,33,58,52,39,45,49,49,56,34,40
